feature_set,scenario,scenario_sign,year,horizon_from_2028,fiscal_action_cut_units_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp,direct_DY_LP_margin_initial_action_pp
linear_benchmark,three_1pp_cut_2028_2030,cut,2033,5,0.0,5.618073177779992,2.094611807410792,3.395818761590552
linear_benchmark,three_1pp_cut_2028_2030,cut,2034,6,0.0,5.496253546953984,2.0451358805137256,1.5732270376433302
linear_benchmark,three_1pp_cut_2028_2030,cut,2035,7,0.0,5.695031888160402,2.068066286011406,1.5753302231752147
linear_benchmark,three_1pp_cut_2028_2030,cut,2036,8,0.0,6.088868499387285,2.1549014753322804,3.4822259956592587
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.1623801975595205,-1.0,-1.5284036762860465
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.2626523108449073,-2.0054697700296256,-4.0458481535665465
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.501017228404298,-2.8462870897429013,-6.418841846032834
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-6.323891186950924,-2.565143120732759,-6.938452656337397
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-6.0248419545413725,-2.246207519575867,-5.734028078385772
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-5.618073177779992,-2.094611807410792,-3.395818761590552
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-5.496253546953984,-2.0451358805137256,-1.5732270376433302
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-5.695031888160402,-2.068066286011406,-1.5753302231752147
linear_benchmark,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-6.088868499387285,-2.1549014753322804,-3.4822259956592587
liq,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.1796701513717092,1.0,1.509386734197549
liq,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.436183655185291,2.0312322340102167,4.022265566043063
liq,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.804853619790036,2.876761994608067,6.313333539452581
liq,three_1pp_cut_2028_2030,cut,2031,3,0.0,6.595540629186176,2.594412612526404,6.803260633011996
liq,three_1pp_cut_2028_2030,cut,2032,4,0.0,6.056912242616467,2.256913956777343,5.56375975298206
liq,three_1pp_cut_2028_2030,cut,2033,5,0.0,5.450623309707407,2.1068352387105693,3.355555276191837
liq,three_1pp_cut_2028_2030,cut,2034,6,0.0,5.253201153480857,2.068444453950116,1.6039237912842061
liq,three_1pp_cut_2028_2030,cut,2035,7,0.0,5.469657949845611,2.0900307192357155,1.5883275856203969
liq,three_1pp_cut_2028_2030,cut,2036,8,0.0,5.943030665460828,2.16176800822286,3.5130950649138333
liq,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.1796701513717092,-1.0,-1.509386734197549
liq,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.436183655185291,-2.0312322340102167,-4.022265566043063
liq,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.804853619790036,-2.876761994608067,-6.313333539452581
liq,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-6.595540629186176,-2.594412612526404,-6.803260633011996
liq,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-6.056912242616467,-2.256913956777343,-5.56375975298206
liq,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-5.450623309707407,-2.1068352387105693,-3.355555276191837
liq,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-5.253201153480857,-2.068444453950116,-1.6039237912842061
liq,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-5.469657949845611,-2.0900307192357155,-1.5883275856203969
liq,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-5.943030665460828,-2.16176800822286,-3.5130950649138333
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.0843703004896887,1.0,1.8219106948426478
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.056786273150135,1.9282592401028014,4.918451553532723
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,4.895545041492476,2.671245753671232,7.521082316650933
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.972736351178063,2.3209474942830077,6.939016607633421
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,4.013150737267651,1.9924098845599778,4.412838861398393
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,3.1362852641125603,1.833480049622917,0.7114321354669938
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,2.5225279656409327,1.7601499901865303,-1.8928241314277634
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,2.0338889885634175,1.7543626993735997,-3.299256660110814
liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,1.758425109070315,1.8870718938473547,-3.425003710405907
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.0843703004896887,-1.0,-1.8219106948426478
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.056786273150135,-1.9282592401028014,-4.918451553532723
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-4.895545041492476,-2.671245753671232,-7.521082316650933
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.972736351178063,-2.3209474942830077,-6.939016607633421
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-4.013150737267651,-1.9924098845599778,-4.412838861398393
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-3.1362852641125603,-1.833480049622917,-0.7114321354669938
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-2.5225279656409327,-1.7601499901865303,1.8928241314277634
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-2.0338889885634175,-1.7543626993735997,3.299256660110814
liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-1.758425109070315,-1.8870718938473547,3.425003710405907
log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.074096119489693,1.0,1.7982268367721377
log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,2.832625815771163,1.9032617227538031,4.786646904570549
log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,4.555049491043149,2.6584044948659713,7.489099532093725
log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.83573625971,2.323621936874065,7.138956754923778
log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,4.365261777943962,2.021895338061653,4.914282645191407
log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,3.835102798670513,1.8522482541876604,1.3088711727813926
log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,3.3771511488881667,1.7582630071142433,-1.1484812031246872
log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,2.975953343510436,1.7542313711584563,-2.156258099534181
log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,2.7262967640008746,1.9037322353128614,-2.261989366830451
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.074096119489693,-1.0,-1.7982268367721377
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-2.832625815771163,-1.9032617227538031,-4.786646904570549
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-4.555049491043149,-2.6584044948659713,-7.489099532093725
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.83573625971,-2.323621936874065,-7.138956754923778
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-4.365261777943962,-2.021895338061653,-4.914282645191407
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-3.835102798670513,-1.8522482541876604,-1.3088711727813926
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-3.3771511488881667,-1.7582630071142433,1.1484812031246872
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-2.975953343510436,-1.7542313711584563,2.156258099534181
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-2.7262967640008746,-1.9037322353128614,2.261989366830451
trade,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.3791126873307011,1.0,1.5859583771643968
trade,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.6676507998532193,2.013505790455234,4.119347162650531
trade,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.93492438736849,2.8506430062970525,6.420381800415825
trade,three_1pp_cut_2028_2030,cut,2031,3,0.0,6.382596687843478,2.5506505201764056,6.720541144334881
trade,three_1pp_cut_2028_2030,cut,2032,4,0.0,5.568328320243951,2.1766486137408734,5.0061584792634735
trade,three_1pp_cut_2028_2030,cut,2033,5,0.0,4.579658373322143,1.9733734568892525,1.819404514979993
trade,three_1pp_cut_2028_2030,cut,2034,6,0.0,4.0104709335723365,1.871751652837565,-0.7493163998469756
trade,three_1pp_cut_2028_2030,cut,2035,7,0.0,4.019373913141022,1.8868380585459583,-0.8439507474716985
trade,three_1pp_cut_2028_2030,cut,2036,8,0.0,4.538610215215073,1.9795350471158875,1.6629715166470893
trade,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.3791126873307011,-1.0,-1.5859583771643968
trade,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.6676507998532193,-2.013505790455234,-4.119347162650531
trade,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.93492438736849,-2.8506430062970525,-6.420381800415825
trade,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-6.382596687843478,-2.5506505201764056,-6.720541144334881
trade,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-5.568328320243951,-2.1766486137408734,-5.0061584792634735
trade,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-4.579658373322143,-1.9733734568892525,-1.819404514979993
trade,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-4.0104709335723365,-1.871751652837565,0.7493163998469756
trade,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-4.019373913141022,-1.8868380585459583,0.8439507474716985
trade,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-4.538610215215073,-1.9795350471158875,-1.6629715166470893
trade+debt,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.3660470572177754,1.0,1.1659304137968867
trade+debt,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.493562480993348,2.0163069897979833,2.8560107356141797
trade+debt,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.458951125877419,2.83689044360534,3.9947743429745453
trade+debt,three_1pp_cut_2028_2030,cut,2031,3,0.0,5.497096188904095,2.5053270485494084,3.3404811131713212
trade+debt,three_1pp_cut_2028_2030,cut,2032,4,0.0,4.345521891736386,2.084437695013484,1.3384252727393835
trade+debt,three_1pp_cut_2028_2030,cut,2033,5,0.0,3.1055182507745203,1.858128767182219,-0.8932597102682006
trade+debt,three_1pp_cut_2028_2030,cut,2034,6,0.0,2.355114489683902,1.769136204043163,-2.0724519268259023
trade+debt,three_1pp_cut_2028_2030,cut,2035,7,0.0,2.2156010101329824,1.7996653480522584,-1.6197966038237075
trade+debt,three_1pp_cut_2028_2030,cut,2036,8,0.0,2.6316227655834936,1.8865826222953495,0.4287243893398466
trade+debt,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.3660470572177754,-1.0,-1.1659304137968867
trade+debt,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.493562480993348,-2.0163069897979833,-2.8560107356141797
trade+debt,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.458951125877419,-2.83689044360534,-3.9947743429745453
trade+debt,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-5.497096188904095,-2.5053270485494084,-3.3404811131713212
trade+debt,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-4.345521891736386,-2.084437695013484,-1.3384252727393835
trade+debt,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-3.1055182507745203,-1.858128767182219,0.8932597102682006
trade+debt,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-2.355114489683902,-1.769136204043163,2.0724519268259023
trade+debt,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-2.2156010101329824,-1.7996653480522584,1.6197966038237075
trade+debt,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-2.6316227655834936,-1.8865826222953495,-0.4287243893398466
trade+debt+liq,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.3459825414284918,1.0,1.172839994342709
trade+debt+liq,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.5548628694809734,2.0308421576215516,2.9120816195423744
trade+debt+liq,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.608747366234153,2.8556713873643735,4.087970461036429
trade+debt+liq,three_1pp_cut_2028_2030,cut,2031,3,0.0,5.673674215335666,2.526774203121796,3.434259107696433
trade+debt+liq,three_1pp_cut_2028_2030,cut,2032,4,0.0,4.424301718923379,2.1034944229547268,1.3307574790179713
trade+debt+liq,three_1pp_cut_2028_2030,cut,2033,5,0.0,3.1178131908846334,1.8835264996316456,-0.9724556003844547
trade+debt+liq,three_1pp_cut_2028_2030,cut,2034,6,0.0,2.377972967856434,1.8013277540954291,-2.2385328726954317
trade+debt+liq,three_1pp_cut_2028_2030,cut,2035,7,0.0,2.277008247816859,1.8266224392387829,-1.809913469128858
trade+debt+liq,three_1pp_cut_2028_2030,cut,2036,8,0.0,2.71382668834958,1.9057655677720615,0.20937019397200118
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.3459825414284918,-1.0,-1.172839994342709
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.5548628694809734,-2.0308421576215516,-2.9120816195423744
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.608747366234153,-2.8556713873643735,-4.087970461036429
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-5.673674215335666,-2.526774203121796,-3.434259107696433
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-4.424301718923379,-2.1034944229547268,-1.3307574790179713
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-3.1178131908846334,-1.8835264996316456,0.9724556003844547
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-2.377972967856434,-1.8013277540954291,2.2385328726954317
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-2.277008247816859,-1.8266224392387829,1.809913469128858
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-2.71382668834958,-1.9057655677720615,-0.20937019397200118
