bootstrap_rep,path,path_type,K_Y_h8,K_G_h8,scenario,scenario_sign,dsa_margin_2036,direct_dy_margin_2036,Y_shortfall_2036,direct_pb_2036
8,debt,retained_single_feature,2.1249815953713904,0.7561536974462334,three_1pp_expansion_2028_2030,expansion,-7.269820035782189,-1.4241755437110628,-5.528867149645502,-2.104335678801283
9,trade,retained_single_feature,1.0399962611800169,0.573364589197543,three_1pp_cut_2028_2030,cut,-1.6953935363212764,1.518910143441123,2.949561137803054,1.9084823140187264
9,trade,retained_single_feature,1.0399962611800169,0.573364589197543,three_1pp_expansion_2028_2030,expansion,1.8367294360644593,-1.518910143441123,-2.949561137803054,-1.9084823140187264
9,liq,retained_single_feature,1.3254620437915807,0.5535678344541214,three_1pp_cut_2028_2030,cut,1.114175087465199,1.421975495206527,4.264113060931127,1.8812841731907566
9,liq,retained_single_feature,1.3254620437915807,0.5535678344541214,three_1pp_expansion_2028_2030,expansion,-0.8939399233106116,-1.421975495206527,-4.264113060931127,-1.8812841731907566
9,debt,retained_single_feature,2.109083028633007,0.6945113566388673,three_1pp_cut_2028_2030,cut,7.231434646429889,5.419425952209485,6.2989318823576985,2.007171858691163
9,debt,retained_single_feature,2.109083028633007,0.6945113566388673,three_1pp_expansion_2028_2030,expansion,-6.69774088031167,-5.419425952209485,-6.2989318823576985,-2.007171858691163
10,trade,retained_single_feature,2.052313145982063,0.8258909349383036,three_1pp_cut_2028_2030,cut,5.3165492043890765,2.34198241822736,5.211583574750413,2.072463622161405
10,trade,retained_single_feature,2.052313145982063,0.8258909349383036,three_1pp_expansion_2028_2030,expansion,-4.927332865632195,-2.34198241822736,-5.211583574750413,-2.072463622161405
10,liq,retained_single_feature,2.832674944749706,0.8723545532335394,three_1pp_cut_2028_2030,cut,9.90033778497164,4.80959128327117,7.471534132571524,2.3435235099344816
10,liq,retained_single_feature,2.832674944749706,0.8723545532335394,three_1pp_expansion_2028_2030,expansion,-9.020774003748883,-4.80959128327117,-7.471534132571524,-2.3435235099344816
10,debt,retained_single_feature,2.178403199995972,0.8147522065830243,three_1pp_cut_2028_2030,cut,5.0534886836152,3.1728292539870036,5.883188995947858,2.251779147109972
10,debt,retained_single_feature,2.178403199995972,0.8147522065830243,three_1pp_expansion_2028_2030,expansion,-4.581433382950678,-3.1728292539870036,-5.883188995947858,-2.251779147109972
11,trade,retained_single_feature,1.3824238222107534,0.6740127639700472,three_1pp_cut_2028_2030,cut,-6.835063388799028,1.445296876029027,2.329358163320022,1.8546772751262983
