feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,profile_country,profile_year,status,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,cumulative_ratio,cumulative_label
debt+liq,debt|liq,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.0058223094009290065,0.0027855317445159553,0.036600129324859454,0.04252607691938184,0.0007628498202315496,0.0,55.74632882062396,-0.13691150989465972,0.06464947034310707,0.03419612258066285,0.6964096233393567,K_G_cumulative
debt+liq,debt|liq,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.0013359859081451349,0.0025220283144288627,0.5963013858415156,0.04241915311838583,0.0006825719726163876,0.0,62.14605172812425,-0.031494874601022516,0.05929657222590692,0.5953206778526154,0.6649147487383342,K_G_cumulative
debt+liq,debt|liq,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.00010043976164986357,0.0009902075919041699,0.9192067133024868,0.04245585662017445,0.0005661878871952957,0.0,74.98545550044611,0.002365745733231442,0.023323925587912395,0.9192091240484195,0.6672804944715657,K_G_cumulative
debt+liq,debt|liq,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.00040129293666429786,0.001290339095969985,0.7558021076014452,0.042604777027246854,0.000458534531493902,0.0,92.91508948833324,-0.009418965774839302,0.030324713679649045,0.7561019766065842,0.6578615286967263,K_G_cumulative
debt+liq,debt|liq,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.0013618962405004635,0.0013779196992712418,0.32297085356613886,0.04291365369290007,0.00033977416621688763,0.0,126.30051946182114,0.03173573264692177,0.03215795883645562,0.32370625381515206,0.6895972613436481,K_G_cumulative
debt+liq,debt|liq,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.0023138431806257087,0.001353470586485703,0.0873467201333562,0.04297576151536331,0.00035507199662093274,0.0,121.03393656595034,0.05384065573331465,0.03134613014521591,0.08586644090354434,0.7434379170769627,K_G_cumulative
debt+liq,debt|liq,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.048976557970462735,0.012188541708547204,5.863298742014855e-05,0.04246502921237618,0.0008242180929455989,0.0,51.52159310239628,1.153338614828712,0.2880278205963784,6.22116083235369e-05,1.153338614828712,K_Y_cumulative
debt+liq,debt|liq,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.042161225537874276,0.011348237221264707,0.00020302501749602797,0.04248876878069052,0.0008293898791066576,0.0,51.228945338054416,0.9922910629746207,0.2692419931164996,0.0002282550897367841,2.1456296778033326,K_Y_cumulative
debt+liq,debt|liq,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.0016067750737459102,0.008953501800790905,0.8575783081164676,0.042484481515241215,0.0008045464078529405,0.0,52.805507675583044,0.03782028205215316,0.2110408984793392,0.8577741415439073,2.1834499598554857,K_Y_cumulative
debt+liq,debt|liq,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.020098136221401115,0.012665001899113333,0.11253449531671444,0.04252607691938184,0.0007628498202315496,0.0,55.74632882062396,-0.47260734300748813,0.29485033052114756,0.10896291361211308,1.7108426168479975,K_Y_cumulative
