path,scenario,scenario_sign,metric,draws,mean,sd,p025,p05,p50,p95,p975,positive_share
liq,three_1pp_expansion_2028_2030,expansion,dsa_margin_2036,29,-7.388201962530909,6.5395418422279565,-19.812540019902293,-18.502954568878533,-6.902051245114208,3.670263679711338,5.547904711346275,0.13793103448275862
liq,three_1pp_expansion_2028_2030,expansion,direct_dy_margin_2036,29,-3.2278286070430005,3.142226741072828,-10.005551563183229,-8.038960463855592,-2.774020519295147,0.7430425688813886,1.3474560114755614,0.13793103448275862
liq,three_1pp_expansion_2028_2030,expansion,Y_shortfall_2036,29,-5.962454207692663,1.8206891074059703,-8.98972080699145,-8.753137994721875,-5.478516939231385,-3.4023214665092336,-3.001545855974029,0.0
liq,three_1pp_expansion_2028_2030,expansion,direct_pb_2036,29,-2.1859734119876504,0.2010010675509289,-2.6246514218319903,-2.5126143494008977,-2.1928340203194314,-1.8506683524273513,-1.7892837306034157,0.0
debt,three_1pp_cut_2028_2030,cut,K_Y_h8,29,1.988982135852915,0.42049432796091163,1.2665753771526211,1.387447694639598,1.8875150377091907,2.7545309427277647,2.8945455899927586,1.0
debt,three_1pp_cut_2028_2030,cut,K_G_h8,29,0.7759745329426772,0.06902819335482908,0.6580607555506334,0.6777091470001818,0.7685714988851533,0.8723093328137652,0.8885420489305126,1.0
debt,three_1pp_cut_2028_2030,cut,dsa_margin_2036,29,5.253889406410823,3.927759571028855,-0.5462276347734671,0.06711210102062637,5.0534886836152,12.450029391558255,12.933911477987268,0.9655172413793104
debt,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,29,3.0477468876174636,2.577195271399313,-0.22952747686228314,0.23760265825864063,2.39177936958762,7.187064536156056,8.671588565760628,0.9655172413793104
debt,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,29,5.19079522952443,1.0309382674987986,3.3154673922311924,3.452933490973372,5.18467606671685,6.7623084206850885,6.963510656599964,1.0
debt,three_1pp_cut_2028_2030,cut,direct_pb_2036,29,2.140298333246524,0.1627378358399698,1.8468351947621469,1.8735462612287805,2.107637048752551,2.3427616130696545,2.397650904722577,1.0
debt,three_1pp_expansion_2028_2030,expansion,K_Y_h8,29,1.988982135852915,0.42049432796091163,1.2665753771526211,1.387447694639598,1.8875150377091907,2.7545309427277647,2.8945455899927586,1.0
debt,three_1pp_expansion_2028_2030,expansion,K_G_h8,29,0.7759745329426772,0.06902819335482908,0.6580607555506334,0.6777091470001818,0.7685714988851533,0.8723093328137652,0.8885420489305126,1.0
debt,three_1pp_expansion_2028_2030,expansion,dsa_margin_2036,29,-4.917682022751039,3.795160364735043,-12.254735213590525,-11.864219680553063,-4.581433382950678,0.14031404988575658,0.7360002772053547,0.10344827586206896
debt,three_1pp_expansion_2028_2030,expansion,direct_dy_margin_2036,29,-3.0477468876174636,2.577195271399313,-8.671588565760626,-7.1870645361560594,-2.39177936958762,-0.23760265825864085,0.22952747686228425,0.034482758620689655
debt,three_1pp_expansion_2028_2030,expansion,Y_shortfall_2036,29,-5.19079522952443,1.0309382674987986,-6.963510656599964,-6.762308420685089,-5.18467606671685,-3.452933490973372,-3.315467392231192,0.0
debt,three_1pp_expansion_2028_2030,expansion,direct_pb_2036,29,-2.140298333246524,0.1627378358399698,-2.397650904722577,-2.3427616130696545,-2.107637048752551,-1.8735462612287805,-1.8468351947621469,0.0
equal_weight_retained_single_features,three_1pp_cut_2028_2030,cut,K_Y_h8,29,2.066138669460116,0.49328301294875615,1.3716077274562293,1.4064796559586152,1.9997323429901137,2.8497124019754625,3.092804881464363,1.0
equal_weight_retained_single_features,three_1pp_cut_2028_2030,cut,K_G_h8,29,0.7686714819081499,0.08124428851163015,0.5943269739343043,0.6255552291841491,0.7745394699728841,0.8823574670947788,0.9051634845459612,1.0
equal_weight_retained_single_features,three_1pp_cut_2028_2030,cut,dsa_margin_2036,29,6.015101565928354,4.948668341496572,-2.5791615914301818,-1.3798271548437742,6.239816776173915,14.255593868946304,15.609970268411967,0.8620689655172413
equal_weight_retained_single_features,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,29,2.7684597945971,2.5689413154218323,-1.205157141895774,-0.5523351176329134,2.754651193206468,6.699444195685713,8.99626744495877,0.9310344827586207
equal_weight_retained_single_features,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,29,5.2517289064745745,1.1479011314738576,3.61589056506579,3.709664937110805,4.912197853085324,7.178294528195216,7.467398653037976,1.0
equal_weight_retained_single_features,three_1pp_cut_2028_2030,cut,direct_pb_2036,29,2.1143486397030284,0.1780275117024992,1.8055891390752725,1.8752496552026083,2.119907467365675,2.408296300377552,2.4794073966617143,1.0
equal_weight_retained_single_features,three_1pp_expansion_2028_2030,expansion,K_Y_h8,29,2.066138669460116,0.49328301294875615,1.3716077274562293,1.4064796559586152,1.9997323429901137,2.8497124019754625,3.092804881464363,1.0
