estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,beta_numerator_profile,beta_denominator_profile,var_numerator_profile,var_denominator_profile,cov_numerator_denominator_profile,denominator_t_stat,ratio,ratio_std_error,ratio_p_value,ratio_ci95_low,ratio_ci95_high
trade__h6__investment_path,trade,trade,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,-0.0014724786516839407,0.04150592398721569,2.7907503904760023e-06,2.4363476667087097e-06,1.5752765697494793e-06,26.59135422277671,-0.035476349162531146,0.04106831106647138,0.38767713764575973,-0.11596875975870276,0.04501606143364047
trade__h7__output,trade,trade,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,0.009450965587225362,0.04189718805302796,1.3746284009343834e-05,1.95918842805938e-06,-1.5088416239566538e-06,29.93276062559179,0.22557517643579258,0.09097005551956155,0.013150621995666523,0.04727714394584284,0.4038732089257423
trade__h7__investment_path,trade,trade,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,0.002354813853529744,0.04189718805302796,2.5323290418210287e-06,1.95918842805938e-06,1.2591315896670792e-06,29.93276062559179,0.05620457990042983,0.036952798907388854,0.12826409696220775,-0.01622157508600336,0.12863073488686302
trade__h8__output,trade,trade,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,0.013313420879821458,0.04230952609871764,1.545696590290277e-05,1.4388053421196622e-06,3.839231076398957e-06,35.27257292971015,0.31466721817583715,0.0858170151489215,0.0002456787316724718,0.14646895922322284,0.48286547712845146
trade__h8__investment_path,trade,trade,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,0.003044964037786579,0.04230952609871764,2.6369036448310437e-06,1.4388053421196622e-06,-9.379613483735558e-07,35.27257292971015,0.07196875783203038,0.0394034759800573,0.06778144006837827,-0.005260635954571005,0.14919815161863176
debt__h0__output,debt,debt,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,0.047276273921050084,0.0416962412728988,0.00011242883551654317,6.034166557425351e-07,1.540731667774768e-06,53.67700310138475,1.1338257952708586,0.2512046238499703,6.3750016012775745e-06,0.6414737797749855,1.6261778107667317
debt__h0__investment_path,debt,debt,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,0.0416962412728988,0.0416962412728988,6.034166557425351e-07,6.034166557425351e-07,6.034166557425351e-07,53.67700310138475,1.0,0.0,,1.0,1.0
debt__h1__output,debt,debt,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,0.03514659131393243,0.04172364392461499,0.00014515666450134622,6.060751097079037e-07,-5.547868919416145e-07,53.59434974427007,0.842366294215199,0.29011373259049067,0.003689313843367792,0.2737538269173534,1.4109787615130447
debt__h1__investment_path,debt,debt,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,0.0002101493367512937,0.04172364392461499,1.368895226637887e-05,6.060751097079037e-07,-1.0438006261993528e-06,53.59434974427007,0.00503669663011661,0.0887094418402447,0.9547224706789332,-0.1688306144654135,0.1789040077256467
debt__h2__output,debt,debt,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,0.0020548538749408565,0.04172534751867339,7.625034659613112e-05,5.699763723176008e-07,-1.1439784851752608e-06,55.26771839092433,0.04924713626462297,0.20943319666577215,0.81409631417886,-0.3612343863673844,0.45972865889663034
debt__h2__investment_path,debt,debt,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,-0.007410339899380115,0.04172534751867339,5.129118722368324e-06,5.699763723176008e-07,-3.8086343033620965e-07,55.26771839092433,-0.1775980390831678,0.05365343868271662,0.0009326393898121399,-0.28275684654802047,-0.0724392316183151
