estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,equation_role,outcome_col,regressor_position,regressor,coefficient,std_error,t_stat,p_value
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,numerator,gi_dyn_h2,6,i_rate_lag1,0.057978817170408745,0.031844157913404954,1.8207049885907731,0.0686517134686484
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04112632219059709,0.0012221228155918468,33.651546036050824,0.0
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.0024785810915814027,0.0039300422892949,0.6306754251303723,0.5282527706041051
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.0023334966672142322,0.0010100297523048093,-2.3103246829010478,0.020870185400434282
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.019414674669703695,0.0034192249790667936,5.67809219591117,1.3620530037172784e-08
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.019992450982693095,0.004781820894827448,4.180928441782327,2.903212262062027e-05
linear__h2__investment_path,linear_benchmark,,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.029755294751303438,0.008199271839934255,-3.6290167385817553,0.00028450279512837184
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,y_dyn_h3,1,shock_G_I,-0.010425792102750814,0.011470877502362892,-0.9088922883714171,0.36340698481629685
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,y_dyn_h3,2,shock_G_C,0.01930831646069628,0.047020011054254275,0.4106404066646705,0.6813362304032926
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,y_dyn_h3,3,dlog_gi_lag1,1.897479976414979e-05,0.009233525355042627,0.0020549897286833404,0.9983603565769061
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,y_dyn_h3,4,dlog_gc_lag1,0.01866559322422357,0.032621769786189386,0.572182114782925,0.5671986029566096
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,y_dyn_h3,5,dlog_y_lag1,-0.057844320588719494,0.06323222061333716,-0.9147918581325098,0.3603009098945349
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,y_dyn_h3,6,i_rate_lag1,0.34995249018896246,0.1310987236537957,2.6693813672291253,0.00759911124891155
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04119063149623016,0.0012625443557261963,32.625096543667915,0.0
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.0014713220901710795,0.003961803118687409,0.37137688221582943,0.7103568416908388
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.0023947258848083966,0.0010295269126533006,-2.3260449584913716,0.020016152386872932
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.01940107114212904,0.0036932997808551108,5.25304532350664,1.4960470240410473e-07
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.021405501607696515,0.005509438930223388,3.885241651426854,0.0001022281526721347
linear__h3__output,linear_benchmark,,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.03184563846658249,0.008150208373303637,-3.907340402595628,9.331764091680128e-05
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,gi_dyn_h3,1,shock_G_I,-0.005023662500611646,0.0026481601991948044,-1.897038744913972,0.05782282468090716
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,gi_dyn_h3,2,shock_G_C,0.0036643444373765004,0.015098982670518162,0.24268816762942536,0.8082469743367469
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,gi_dyn_h3,3,dlog_gi_lag1,-2.0964957947565105e-06,0.0018430830031622993,-0.0011374939659035508,0.9990924113223194
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,gi_dyn_h3,4,dlog_gc_lag1,-0.013446361489121206,0.01317687743919345,-1.0204512830275099,0.3075144827540228
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,gi_dyn_h3,5,dlog_y_lag1,-0.0006458566416129574,0.012552074183947564,-0.05145417658851334,0.9589636152352621
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,numerator,gi_dyn_h3,6,i_rate_lag1,0.003333960955473353,0.020836651962841877,0.16000463804928092,0.8728774206567476
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04119063149623016,0.0012625443557261963,32.625096543667915,0.0
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.0014713220901710795,0.003961803118687409,0.37137688221582943,0.7103568416908388
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.0023947258848083966,0.0010295269126533006,-2.3260449584913716,0.020016152386872932
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.01940107114212904,0.0036932997808551108,5.25304532350664,1.4960470240410473e-07
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.021405501607696515,0.005509438930223388,3.885241651426854,0.0001022281526721347
linear__h3__investment_path,linear_benchmark,,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,6,6,OK,denominator,gi_dyn0,6,i_rate_lag1,-0.03184563846658249,0.008150208373303637,-3.907340402595628,9.331764091680128e-05
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator,y_dyn_h4,1,shock_G_I,-0.0075641219909315435,0.012854934334982334,-0.5884216748075625,0.5562492927767608
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator,y_dyn_h4,2,shock_G_C,-0.01887531120246357,0.026093923309390032,-0.7233604153221065,0.4694584842341216
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator,y_dyn_h4,3,dlog_gi_lag1,0.00308065090093609,0.0054989052204661585,0.5602298598401618,0.5753226623289076
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator,y_dyn_h4,4,dlog_gc_lag1,-0.1767072144211948,0.06035516433206105,-2.92778946717782,0.0034138111887427325
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator,y_dyn_h4,5,dlog_y_lag1,0.06201906137762719,0.045883628849605194,1.3516599042527742,0.17648413730605594
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,numerator,y_dyn_h4,6,i_rate_lag1,0.12469572319342974,0.10681827337648489,1.1673632165344512,0.24306371916552139
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,denominator,gi_dyn0,1,shock_G_I,0.04110237230853967,0.0012716212553440598,32.322810062984274,0.0
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,denominator,gi_dyn0,2,shock_G_C,0.001972206311575706,0.0038100958904030806,0.5176264241914029,0.6047189417013512
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,denominator,gi_dyn0,3,dlog_gi_lag1,-0.0024567761739570475,0.0010402859076759873,-2.361635542526495,0.018194519417390254
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,denominator,gi_dyn0,4,dlog_gc_lag1,0.018557366746509228,0.0037304669947198473,4.974542536571312,6.540190256032474e-07
linear__h4__output,linear_benchmark,,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,6,6,OK,denominator,gi_dyn0,5,dlog_y_lag1,0.02145272692779191,0.006107079664710884,3.512763563860847,0.00044347191912574857
