feature_set,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,3.835102798670513,1.8522482541876604,-1.840849343361846,-3.841931581497192,-3.830532670671378,6.084180112690829,93.42025756835938,94.7947742321054,1.3745166637460215,1.3088711727813926
log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,3.3771511488881667,1.7582630071142433,-1.62103255146632,-3.859153032302856,-3.721922576654933,6.046716432141874,97.61768341064452,98.40902933575583,0.7913459251113153,-1.1484812031246872
log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,2.975953343510436,1.7542313711584563,-1.4284576048850093,-3.876374483108521,-3.550600716835074,5.959775130829481,101.9944839477539,102.05509846844036,0.060614520686456785,-2.156258099534181
log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,2.7262967640008746,1.9037322353128614,-1.3086224467204197,-3.893596172332764,-3.2984863837403227,5.485509457210802,106.79410552978516,105.99589221989527,-0.7982133098898885,-2.261989366830451
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.074096119489693,-1.0,0.5155661373550526,-3.879892110824585,-4.3643259734695325,6.554839001831092,73.19452667236328,72.94236658014111,-0.2521600922221694,-1.7982268367721377
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-2.832625815771163,-1.9032617227538031,1.3596603915701582,-3.947735786437988,-4.491337117621632,7.06280067780285,77.04766845703125,76.09366821989843,-0.9540002371328171,-4.786646904570549
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-4.555049491043149,-2.6584044948659713,2.1864237557007113,-3.9902679920196538,-4.462248731184913,6.9357063179769085,81.12287902832031,79.38486479743158,-1.7380142308887372,-7.489099532093725
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-4.83573625971,-2.323621936874065,2.3211534046608,-3.907489061355591,-3.9099575935688566,5.6030561057971,85.14363861083984,83.1928214623493,-1.9508171484905432,-7.138956754923778
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-4.365261777943962,-2.021895338061653,2.0953256534131017,-4.024710655212402,-3.9512803398609537,4.9473356601889895,89.33782958984375,87.68548177163832,-1.6523478182054276,-4.914282645191407
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-3.835102798670513,-1.8522482541876604,1.840849343361846,-3.841931581497192,-3.853330492323006,4.963416034516888,93.42025756835938,92.22376806301027,-1.1964895053491063,-1.3088711727813926
