country,year,nominal_gdp_mio_eur,debt_raw,gdp_pc_current_pps,gdp_pc_real_index_2020,gdp_pc_current_pps_2020_anchor,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur,hh_net_financial_worth_to_gdp,liq_raw,trade_raw
NLD,2007,622775.0,42.8,34900.9,96.516,39986.8,38593.659888,10.560843290355932,1538009.0,733221.0,1.2922612500501787,-1.2922612500501787,0.40391
NLD,2008,651299.0,54.3,36251.2,98.175,39986.8,39257.0409,10.577886093110074,1683855.0,780808.0,1.3865321457579391,-1.3865321457579391,0.38191
NLD,2009,630173.0,56.3,33941.7,94.096,39986.8,37625.97932800001,10.5354500303636,1752825.0,847591.0,1.436484901765071,-1.436484901765071,0.3506
NLD,2010,643022.0,58.9,34297.2,94.85,39986.8,37927.4798,10.543431189027023,1878057.0,874063.0,1.5613680402847803,-1.5613680402847803,0.32813
NLD,2011,656013.0,61.2,35027.4,96.081,39986.8,38419.71730800001,10.556326078356904,2014593.0,876763.0,1.7344625792476673,-1.7344625792476673,0.36104
NLD,2012,658232.0,65.7,35189.9,94.789,39986.8,37903.087852000004,10.542787861419265,2132653.0,882155.0,1.8997830552145747,-1.8997830552145747,0.35938
NLD,2013,665567.0,67.2,35818.4,94.484,39986.8,37781.128112,10.539565000641462,2120136.0,875760.0,1.8696479843501856,-1.8696479843501856,0.37087
NLD,2014,678627.0,67.2,35659.4,95.661,39986.8,38251.772748,10.551945184533665,2360086.0,856866.0,2.2150901747204284,-2.2150901747204284,0.36041
NLD,2015,699175.0,63.8,36639.1,97.257,39986.8,38889.962076,10.568491451988608,2471744.0,870535.0,2.290140522758966,-2.290140522758966,0.52292
NLD,2016,720175.0,60.9,36929.7,99.088,39986.8,39622.120384,10.587142836841705,2651399.0,884874.0,2.452910750859166,-2.452910750859166,0.43882
NLD,2017,750861.0,56.0,38491.7,101.244,39986.8,40484.23579200001,10.60866793761749,2654947.0,903972.0,2.3319562475611333,-2.3319562475611333,0.44732
NLD,2018,787273.0,51.6,39886.4,102.924,39986.8,41156.01403200001,10.625125344442285,2705400.0,922379.0,2.264806490251793,-2.264806490251793,0.45402
NLD,2019,829767.0,47.7,40548.0,104.605,39986.8,41828.19214000001,10.641325844281612,3016790.0,942600.0,2.4997258266477216,-2.4997258266477216,0.44551
NLD,2020,816463.0,53.4,39986.8,100.0,39986.8,39986.8,10.596304678634091,3302777.0,966700.0,2.8612160012149968,-2.8612160012149968,0.42824
NLD,2021,891550.0,50.5,43741.8,105.725,39986.8,42276.044299999994,10.651975876004553,3318339.0,1002786.0,2.5972216925579046,-2.5972216925579046,0.42728
NLD,2022,993820.0,48.4,48540.1,109.965,39986.8,43971.48462,10.69129662598966,2941711.0,1045670.0,1.9078313980398864,-1.9078313980398864,0.40768
