country,year,trade_z_lag1,debt_z_lag1,liq_z_lag1,log_gdp_pc_z_lag1
LVA,2015,0.01131133793840891,-0.5386308233971633,1.037153791145026,-1.1716925683724448
LVA,2016,-0.15418874082114284,-0.6708231370334873,0.8693547571913216,-1.0516786210332572
LVA,2017,-0.10926870746100065,-0.5771869148744243,0.763847589060199,-0.9614673810971607
LVA,2018,-0.047590427659657916,-0.6157430063516857,0.7256910190045819,-0.8490991832731208
LVA,2019,-0.038070950391283866,-0.6708231370334873,0.6979765180767202,-0.7179402314303637
LVA,2020,-0.08160272664978785,-0.6818391631698475,0.6841889908874256,-0.6823855104463633
LVA,2021,-0.2397648750149669,-0.5138447645903526,0.520338886255862,-0.7581843701429076
LVA,2022,0.07794767881702999,-0.46151864044264107,0.4439521131299714,-0.5593941488352073
LVA,2023,0.11017507581933904,-0.5028287384539922,0.5135048729434281,-0.5117747140355144
LVA,2024,,-0.5028287384539922,0.5079585837850291,-0.5300972844748466
LVA,2025,,-0.4532566208403707,0.3683778406664776,-0.5077335944558428
LTU,1995,,,,
LTU,1996,0.03401925767234335,-1.411650894703719,1.3909741031553775,-3.4739140111682305
LTU,1997,0.00040360356839608675,-1.345554737885557,1.3962672153691904,-3.3250535473168403
LTU,1998,0.16798606798040464,-1.3042446398742058,1.177510696007824,-3.096109687961584
LTU,1999,-0.021015220285446345,-1.2711965614651248,1.2704935465340663,-2.8879035137789644
LTU,2000,-0.3960429601707805,-1.1032021628856299,1.2026552367069743,-2.8982042254749167
LTU,2001,-0.1492306797438645,-1.0784161040788192,1.2438330808205305,-2.791362771384281
LTU,2002,0.0018910218915799788,-1.0949401432833596,1.2507060799031209,-2.6046284330745517
LTU,2003,0.15360769085629736,-1.1169721955560803,1.1771230251427856,-2.4125695013914696
LTU,2004,-0.03093134244000306,-1.1637903066356117,1.1855586184406628,-2.1275614789113653
LTU,2005,0.14032008716919128,-1.2133624242492331,1.009800844909152,-1.9324926923300128
LTU,2006,0.16114394369376028,-1.240902489590134,0.9724929315648949,-1.6939617859353044
LTU,2007,0.12128113263244264,-1.2491645091924042,1.0377035029325448,-1.464517845752125
LTU,2008,-0.160931703886241,-1.2877206006696653,1.0157338202389952,-1.157132864597887
LTU,2009,-0.4791400638259657,-1.3235226856128364,0.9985986657373856,-1.0626806556033874
LTU,2010,-0.6085454579429307,-0.9572398165788556,1.1673437700927656,-1.4556471811304437
LTU,2011,-1.018676270255396,-0.7148872415789284,1.0747712705027692,-1.389317444874335
LTU,2012,-0.9012693839454445,-0.6956091958402979,1.0957694671139417,-1.1688040132997037
LTU,2013,-0.6848995985330172,-0.6267590324880459,1.0496123546987153,-1.0220033834657514
LTU,2014,-0.5990259806745561,-0.6542990978289467,0.9769209790478074,-0.8930994198432521
LTU,2015,-0.7108798385779559,-0.6047269802153251,1.0155858850414325,-0.774386697012631
LTU,2016,-0.4335259019150049,-0.5579088691357939,1.0020471511618552,-0.6774907721867512
LTU,2017,-0.050466103084479484,-0.6295130390221361,0.9100828560534958,-0.577506355370954
LTU,2018,0.15965652537057692,-0.6487910847607665,0.9330019549492384,-0.42712364652405765
LTU,2019,0.22936686411711035,-0.8085234637379913,0.9464210455411657,-0.27916033651645095
LTU,2020,0.03054861491824889,-0.7451813134539194,0.8553431295679497,-0.1514432374714291
LTU,2021,-0.07922285733269406,-0.46151864044264107,0.6705614217349916,-0.14965542252530803
LTU,2022,0.29838307431282524,-0.5331228103289832,0.5514505459614936,0.015117362231809504
LTU,2023,0.2043782362876278,-0.6708231370334873,0.6837108570222836,0.05745542632377731
LTU,2024,,-0.7038712154425681,0.6802107630517424,0.04000537694326152
LTU,2025,,-0.6790851566357574,0.6814686112045549,0.10323136868402777
LUX,1995,,,,
LUX,1996,0.42015305437078165,-1.44745297964689,0.35953815181203785,1.800552496328521
LUX,1997,0.5164386004915272,-1.45020698618098,0.357905630587102,1.8054660386207437
LUX,1998,0.8346469604312514,-1.4639770188514305,0.3255431786445944,1.9102393163090767
LUX,1999,0.9562186180461171,-1.4749930449877908,0.36774527267818075,2.0467950892602937
LUX,2000,1.1698118892552685,-1.5025331103286916,0.5426317124369895,2.2156688817896906
LUX,2001,1.2940608998518643,-1.5190571495332321,0.5430363736884963,2.357853912132257
LUX,2002,1.4073030148569017,-1.516303142999142,0.5072794797232575,2.408190964976401
LUX,2003,1.0991099382932794,-1.5218111560673222,0.5374060826520869,2.463306840310333
LUX,2004,0.9595900995786664,-1.5218111560673222,0.46951598001071415,2.4984455965307175
LUX,2005,1.1609865405377124,-1.510795129930962,0.37217627777401063,2.5712636721281137
LUX,2006,1.3347170006855467,-1.5052871168627817,0.43629865275869495,2.5948215033697664
LUX,2007,1.019285154949098,-1.4997791037946016,0.4726041674117202,2.7079208876869942
LUX,2008,0.9428318531374659,-1.5025331103286916,0.43517942557561634,2.8697496193527567
LUX,2009,1.1301474006370416,-1.3235226856128364,0.45162516641275074,2.815574506650239
LUX,2010,0.7337008368978645,-1.3042446398742058,0.22070495925974495,2.681157275174023
LUX,2011,0.7128769803732955,-1.1995923915787827,0.28071546670944825,2.729485271850282
LUX,2012,0.946699140777743,-1.2161164307833232,0.4315957044456861,2.6959280734146267
LUX,2013,1.0554790008132293,-1.1527742804992513,0.4960194695393361,2.678537352225092
LUX,2014,1.1960896129648442,-1.10871017595381,0.43235648505934593,2.6931122037833695
LUX,2015,1.1943047109770233,-1.1224802086242605,0.4111217450547259,2.6992400938939918
LUX,2016,1.15434273869416,-1.144512260896981,0.349480887661896,2.706585230653801
LUX,2017,1.1615815078669864,-1.1858223589083323,0.35334536827142904,2.767154381940745
LUX,2018,1.1146782500759331,-1.1252342151583505,0.34670751080402734,2.744349225795078
LUX,2019,1.1287591435354034,-1.1500202739651613,0.37237066934733026,2.734803482060423
LUX,2020,1.3940154111697958,-1.1114641824879001,0.2307227180738997,2.7517240478691334
LUX,2021,1.2676840149207436,-1.0508760387379183,0.21620759310539675,2.697926299506309
LUX,2022,1.7305685970954499,-1.0591380583401886,0.2453240381325361,2.832733733333149
LUX,2023,1.9263128484263992,-1.039860012601558,0.45039417964670514,2.7464141985931247
LUX,2024,,-1.0453680256697382,0.5070420294515176,2.6994502400646025
LUX,2025,,-1.001303921124297,0.48738050455403237,2.667100892185921
MLT,1995,,,,
MLT,1996,0.676583973287618,-0.7809833983970905,-0.43659185888863117,
MLT,1997,0.718925814887575,-0.665315123965307,-0.651999816110028,
MLT,1998,0.48212881783676087,-0.44499460123810053,-0.7903090140056167,
MLT,1999,0.5333951693758191,-0.3265723202722271,-0.8192175617553589,
MLT,2000,0.6293832318319282,-0.023631601522318194,-0.949268958297644,
MLT,2001,0.8578506862729142,-0.04290964726094865,-0.7675950861879742,-0.8910580540692646
MLT,2002,0.1072002391729718,0.07000462063674472,-0.9395800165049978,-0.9579686059817725
MLT,2003,-0.18423459094944944,0.020432503023123143,-1.0262757199309132,-0.9063843791725597
MLT,2004,-0.1105578033410932,0.17465686893216772,-1.2005680523679163,-0.828321879504134
MLT,2005,0.10789436772379091,0.2352450126821496,-1.2335151479826687,-0.8353384632599389
MLT,2006,0.2996721701929178,0.20770494734124878,-1.4442782449421858,-0.7772966852079334
MLT,2007,0.8851200221979454,0.05072657489811407,-1.3157411480276617,-0.7258157553735083
MLT,2008,1.2329775873797946,-0.018123588454137956,-1.2103388944678115,-0.6062034984920868
MLT,2009,1.6726584437128391,-0.03189362112458836,-1.0026989319917319,-0.5100671569527282
MLT,2010,1.5443438230328748,0.0920366729094653,-1.060575679425977,-0.5668035129356779
MLT,2011,1.847975483405401,0.06449660756856448,-1.014877548684229,-0.42120414820410945
MLT,2012,1.7722163101445878,0.1719028623980778,-0.9772205583816155,-0.4067340882924015
MLT,2013,1.6740467008144764,0.0810206467731048,-0.9318973639563332,-0.3222957441773847
MLT,2014,1.551979237091884,0.061742601034474556,-0.8381200637908237,-0.19600841345172482
MLT,2015,1.434671512003478,-0.05392567339730893,-1.0564166447014531,-0.05574568080018339
MLT,2016,1.8864500373650808,-0.21090404584044364,-0.8641542006359391,0.12283458499476278
MLT,2017,1.9133227284039305,-0.2632301699881551,-1.1230873741136822,0.1683627297182499
MLT,2018,1.5186610666525733,-0.4697806600449112,-1.2604577009568538,0.41589243172061724
