estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,regressor_position,regressor,contrast_weight,poland_profile_source
linear__h8__output,linear_benchmark,,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h8__output,linear_benchmark,,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,6,i_rate_lag1,0.0,{}
linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,1,shock_G_I,1.0,{}
linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,2,shock_G_C,0.0,{}
linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,3,dlog_gi_lag1,0.0,{}
linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,4,dlog_gc_lag1,0.0,{}
linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,5,dlog_y_lag1,0.0,{}
linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,6,i_rate_lag1,0.0,{}
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,1,shock_G_I,1.0,"{""trade"": -0.16113002632933232}"
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,2,shock_G_C,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,3,trade_z_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,4,shock_G_I_x_trade,-0.16113002632933232,"{""trade"": -0.16113002632933232}"
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,5,dlog_gi_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,6,dlog_gc_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,7,dlog_y_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,8,i_rate_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,1,shock_G_I,1.0,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,2,shock_G_C,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,3,trade_z_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,4,shock_G_I_x_trade,-0.16113002632933232,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,5,dlog_gi_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,6,dlog_gc_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,7,dlog_y_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,8,i_rate_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,1,shock_G_I,1.0,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,2,shock_G_C,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,3,trade_z_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,4,shock_G_I_x_trade,-0.16113002632933232,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,5,dlog_gi_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,6,dlog_gc_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,7,dlog_y_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,8,i_rate_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,1,shock_G_I,1.0,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,2,shock_G_C,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,3,trade_z_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,4,shock_G_I_x_trade,-0.16113002632933232,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,5,dlog_gi_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,6,dlog_gc_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,7,dlog_y_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,8,i_rate_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,1,shock_G_I,1.0,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,2,shock_G_C,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,3,trade_z_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,4,shock_G_I_x_trade,-0.16113002632933232,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,5,dlog_gi_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,6,dlog_gc_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,7,dlog_y_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,8,i_rate_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,1,shock_G_I,1.0,"{""trade"": -0.16113002632933232}"
trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,2,shock_G_C,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,3,trade_z_lag1,0.0,"{""trade"": -0.16113002632933232}"
trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,4,shock_G_I_x_trade,-0.16113002632933232,"{""trade"": -0.16113002632933232}"
trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,5,dlog_gi_lag1,0.0,"{""trade"": -0.16113002632933232}"
