feature_set,features,horizon,response_type,dep_col,scale_col,window_start,window_end,nobs,country_n,year_min,year_max,rank,regressor_count,status,profile_country,profile_year,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,ci95_low,ci95_high
debt+log_gdp_pc,debt|log_gdp_pc,2,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h2,gi_dyn0,2004,2023,531,27,2004,2023,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.0856129645999917,0.044104202201973204,0.05223983150377398,0.04055769480735318,0.0008749268957933301,0.0,46.35552410419153,-2.110893259753755,1.0881675296065407,0.05239663988305998,-4.243662426928497,0.02187590742098733
debt+log_gdp_pc,debt|log_gdp_pc,3,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h3,gi_dyn0,2004,2022,506,27,2004,2022,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.04371739693869955,0.041571418830961965,0.29297324939743996,0.040577839529701454,0.0009328938834728792,0.0,43.49673660485643,-1.0773712313268935,1.0264912274526108,0.29391727483554675,-3.0892570675803226,0.9345146049265356
debt+log_gdp_pc,debt|log_gdp_pc,4,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h4,gi_dyn0,2004,2021,481,27,2004,2021,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.031082476778166866,0.026149352536615388,0.23457668770927675,0.0404768966959115,0.0009642937174376469,0.0,41.97569263799421,-0.7679066162526845,0.6554893363040566,0.24139733152079845,-2.0526421076586985,0.5168288751533293
debt+log_gdp_pc,debt|log_gdp_pc,5,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h5,gi_dyn0,2004,2020,456,27,2004,2020,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",0.004061482963408468,0.03641604812826374,0.9111960531416061,0.0405602353669796,0.000951453499306194,0.0,42.62976109348106,0.10013460046918152,0.8959242547354206,0.9110083003802263,-1.6558446716881312,1.856113872626494
debt+log_gdp_pc,debt|log_gdp_pc,6,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h6,gi_dyn0,2004,2019,431,27,2004,2019,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.013815517848714648,0.03118504555896486,0.657753148067447,0.040672719813541654,0.0009790214966487341,0.0,41.54425612999051,-0.33967528879430586,0.7719267331422182,0.6599112807166203,-1.8526238844567144,1.1732733068681025
debt+log_gdp_pc,debt|log_gdp_pc,7,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h7,gi_dyn0,2004,2018,405,27,2004,2018,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.029503837698854837,0.027640122664319915,0.2857786617768301,0.04089853108957126,0.0009690434673397755,0.0,42.20505319729999,-0.7213911334428839,0.6853117186536057,0.29250293573885333,-2.064577420187197,0.6217951533014293
debt+log_gdp_pc,debt|log_gdp_pc,8,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.03404753422264321,0.019099617728826086,0.0746467007823639,0.04116795724735648,0.000923049578308772,0.0,44.599941557619424,-0.8270396808389006,0.4587662569521885,0.07142789301217856,-1.7262050217874378,0.07212566010963672
linear_benchmark,,0,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h0,gi_dyn0,2004,2025,583,27,2004,2025,6,6,OK,POL,2025,{},-0.06280771678304502,0.024224213965671676,0.009520754234612738,0.04109367031598943,0.0011372286658322649,0.0,36.13492303758945,-1.5284036762860465,0.601560281680829,0.011062056086613259,-2.707440162910241,-0.349367189661852
linear_benchmark,,1,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h1,gi_dyn0,2004,2024,557,27,2004,2024,6,6,OK,POL,2025,{},-0.1035080363202261,0.038018455003062265,0.006477563185599555,0.04111631348948037,0.0011426274188832805,0.0,35.98400739382257,-2.5174444772805002,0.9507578621271751,0.008101043079827841,-4.380895645068061,-0.6539933094929395
linear_benchmark,,2,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h2,gi_dyn0,2004,2023,531,27,2004,2023,6,6,OK,POL,2025,{},-0.09759250315262315,0.05187417999039896,0.0599269059468428,0.04112632219059709,0.0012221228155918468,0.0,33.651546036050824,-2.372993692466286,1.291767986262876,0.06620807813202756,-4.904812421923353,0.15882503699078088
linear_benchmark,,3,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h3,gi_dyn0,2004,2022,506,27,2004,2022,6,6,OK,POL,2025,{},-0.08435901001609479,0.06371173573499307,0.18547869244329296,0.04119063149623016,0.0012625443557261963,0.0,32.625096543667915,-2.0480144865906094,1.573818141018699,0.19315471332546053,-5.132641361203039,1.0366123880218199
linear_benchmark,,4,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h4,gi_dyn0,2004,2021,481,27,2004,2021,6,6,OK,POL,2025,{},-0.05396823275073677,0.0574323630323582,0.3473800308297401,0.04110237230853967,0.0012716212553440598,0.0,32.322810062984274,-1.3130198993288766,1.4214705532265108,0.35563976623442395,-4.099050988737063,1.4730111900793095
linear_benchmark,,5,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h5,gi_dyn0,2004,2020,456,27,2004,2020,6,6,OK,POL,2025,{},-0.0014369123069028688,0.036758228519395496,0.9688179146187599,0.041309130297201284,0.0011880031038093476,0.0,34.77190435340027,-0.034784375671066126,0.890450691328008,0.9688395331264021,-1.7800356606827539,1.7104669093406215
